gender,acNo,age,symbol,incumbent,criminal,slNo,minister,alliance,party,profession,image,assets,name,id,education
Male,32,37,Whistle,False,0,6,,tvk,TVK,,,₹61.15 L,S.Thiyagarajan,90686,Bachelor's Degree
Male,32,41,Peas,False,0,7,,independent,IND,,,₹1.20 L,M.Anandan,90687,10th Grade (SSLC)
Male,32,44,Ship,False,0,8,,independent,IND,,,₹2.28 L,A.Esakkiappan,90688,Bachelor's Degree
Male,32,33,Air conditioner,False,0,9,,independent,IND,,,₹29.66 L,Karthick.A,90689,Diploma / ITI
Male,32,29,Electric pole,False,0,10,,independent,IND,,,"₹21,000",G.Christopher,90690,Bachelor's Degree
Male,32,51,Bat,False,0,11,,independent,IND,,,₹2.66 L,S.Delhi Babu,90691,Master's Degree
Male,32,51,Stapler,False,0,12,,independent,IND,,,"₹83,419",T.Prem Balaji,90692,Bachelor's Degree
Male,32,45,Coconut farm,False,0,13,,independent,IND,,,₹15.65 L,V.Ramakrishnan,90693,Diploma / ITI
Male,32,34,Water melon,False,0,14,,independent,IND,,,₹1.81 L,C.Vimalraj,90694,Master's Degree
Male,32,48,Nail cutter,False,0,15,,independent,IND,,,₹12.45 L,P.George Devadoss,90695,Bachelor's Degree
Male,33,70,Farmer Carrying Plough,False,0,1,,ntk,NTK,,,₹3.03 Cr,Ambeth Rajan,90696,Bachelor's Degree
Male,33,57,Pot,False,0,2,,spa,VCK,,,₹10.73 Cr,R.Panneerdoss,90697,Bachelor's Degree
Male,33,36,Elephant,False,0,3,,others,BSP,,,₹19.21 L,Dr.D.Vinoth Kumar,90698,12th Grade (HSC / +2)
Male,33,46,Gas cylinder,False,0,4,,others,MAMK,,,₹nan,A.Selvaraj,90699,Not Specified
Male,33,43,Boat with man and sail,False,0,5,,others,SP,,,₹7.27 L,V.Desappan,90700,9th Grade
Male,33,55,Mango,False,0,6,,nda,PMK,,,₹5.01 Cr,K.Balu,90701,Bachelor's Degree
Male,33,32,Whistle,False,0,7,,tvk,TVK,,,₹35.70 L,B.Vijayaraj,90702,Bachelor's Degree
Male,33,34,Ship,False,0,8,,independent,IND,,,₹1.19 L,V M Chandiran,90703,Bachelor's Degree
Male,33,33,Table,False,0,9,,independent,IND,,,₹6.15 L,S.Gnanasekaran,90704,Bachelor's Degree
Male,33,48,Cauliflower,False,0,10,,independent,IND,,,₹5.08 L,D.Panneerselvam,90705,9th Grade
Male,33,46,CCTV Camera,False,0,11,,independent,IND,,,₹94.93 L,S.Meshak,90706,8th Grade
Male,34,61,Pot,False,0,1,,spa,VCK,,,₹1.41 Cr,Sinthanai Selvan,90707,Not Specified
