constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Avadi,NTK,3,0,False,Farmer Carrying Plough,Punitha Shanmugam,Female,90069,Doctorate (Ph.D / MD),32,,,₹12.39 L,,ntk,6
Avadi,BJP,4,0,False,Lotus,Rajasimha Mahendra,Male,90070,12th Grade (HSC / +2),49,,,₹59.44 L,,nda,6
Avadi,TAVK,5,0,False,Camera,R.Edmund Jayendren,Male,90071,Bachelor's Degree,53,,,₹1.31 Cr,,others,6
Avadi,ACDP,6,0,False,Truck,C.S.Karnan,Male,90072,Not Specified,70,,,₹nan,,others,6
Avadi,APTADMK,7,0,False,Jackfruit,Senthilkumar. S,Male,90073,Diploma / ITI,51,,,"₹30,000",,others,6
Avadi,AIPTMMK,8,0,False,Coconut farm,R.Bakthavatchalam,Male,90074,12th Grade (HSC / +2),39,,,₹nan,,ajpk,6
Avadi,TVK,9,0,False,Whistle,R.Ramesh Kumar,Male,90075,Bachelor's Degree,60,,,₹2.79 Cr,,tvk,6
Avadi,SMNK,10,0,False,Walking stick,P.Jayakumar,Male,90076,Not Specified,50,,,₹33.47 L,,others,6
Avadi,IND,11,0,False,Refrigerator,K.Annamalai,Male,90077,10th Grade (SSLC),52,,,₹7.20 L,,independent,6
Avadi,IND,12,0,False,Gramophone,G.D.Arunkumar,Male,90078,Bachelor's Degree,30,,,₹6.67 L,,independent,6
Avadi,IND,13,0,False,Cauliflower,M.Erajasimman,Male,90079,Bachelor's Degree,42,,,₹8.42 L,,independent,6
Avadi,IND,14,0,False,Pen nib with seven rays,R.Kumar,Male,90080,Not Specified,49,,,₹12.19 L,,independent,6
Avadi,IND,15,0,False,Fountain,S.Senthilkumar,Male,90081,Bachelor's Degree,48,,,₹26.87 L,,independent,6
Avadi,IND,16,0,False,Gas cylinder,P.Chellapandian,Male,90082,Bachelor's Degree,58,,,₹5.73 L,,independent,6
Avadi,IND,17,0,False,Lady finger,K.Balakrishnan,Male,90083,Bachelor's Degree,47,,,₹1.53 L,,independent,6
Avadi,IND,18,0,False,Envelope,R.Manikandan,Male,90084,Master's Degree,34,,,₹6.48 L,,independent,6
Avadi,IND,19,0,False,Scissors,Uniesh Raj. M,Male,90085,Master's Degree,29,,,₹7.62 L,,independent,6
Avadi,IND,20,0,False,Brush,Rajasekar. R,Male,90086,Bachelor's Degree,27,,,₹6.51 L,,independent,6
Maduravoyal,DMK,1,0,True,Rising sun,Ganapathy. K,Male,90087,8th Grade,67,,,₹10.66 L,,spa,7
Maduravoyal,AIADMK,2,0,False,Two leaves,P.Benjamin,Male,90088,Bachelor's Degree,56,,,₹2.00 Cr,,nda,7
Maduravoyal,NTK,3,0,False,Farmer Carrying Plough,Revathi L,Female,90089,10th Grade (SSLC),32,,,₹7.23 L,,ntk,7
Maduravoyal,NMK,4,0,False,Pen nib with seven rays,Agni Selvaraju. J,Male,90090,Master's Degree,43,,,₹44.05 L,,others,7
Maduravoyal,AMGRDMAK,5,0,False,Pan,Muthuraman. S,Male,90091,12th Grade (HSC / +2),57,,,₹19.50 L,,others,7
Maduravoyal,NIP,6,0,False,Spanner,Murali. S,Male,90092,12th Grade (HSC / +2),31,,,₹1.37 L,,others,7
Maduravoyal,TVK,7,0,False,Whistle,Rhevanth Charan,Male,90093,Not Specified,30,,,₹7.02 Cr,,tvk,7
Maduravoyal,VTVTK,8,0,False,Pestle and mortar,K.Venkatesan,Male,90094,Not Specified,49,,,₹8.10 L,,others,7
Maduravoyal,AIPTMMK,9,0,False,Coconut farm,J.Venkatesan,Male,90095,10th Grade (SSLC),51,,,₹13.40 L,,ajpk,7
Maduravoyal,IND,10,0,False,Bead necklace,D.Anandan,Male,90096,Bachelor's Degree,52,,,₹11.47 L,,independent,7
Maduravoyal,IND,11,0,False,Diamond,K.Ganapathy,Male,90097,9th Grade,39,,,₹nan,,independent,7
Maduravoyal,IND,12,0,False,CCTV Camera,V.Kamala Kannan,Male,90098,8th Grade,36,,,₹2.41 L,,independent,7
Maduravoyal,IND,13,0,False,Gas cylinder,Saravanan Kumar,Male,90099,Doctorate (Ph.D / MD),39,,,₹3.17 Cr,,independent,7
Maduravoyal,IND,14,0,False,Sitar,R.Siva,Male,90100,Not Specified,34,,,₹nan,,independent,7
